,year,numcode,oilreserves_full,oilreserves,oilreserves_public,newdiscovery_aspo,imputedzero,aspo,wildcat,endowment,ecgrowth,country,incidence2COW,onset2COWCS,incidenceU,onsetUCS,Fearon_war,onset_FearonCS,Sambanis_war,onset_SambanisCS,coup,any_coup,periregular,no_transition,religion_fractionalization,ethnic_fractionalization,language_fractionalization,ETHPOL_reynal,ETHFRAC_reynal,RELPOL_reynal,RELFRAC_reynal,leg_british,rule_law96,crude1990P,smallregion,largeregion,out_regdisaster,asposmpl,zero_res,logoilres,logvaloilres,discoveryaspoPC,zero_disc,logdiscoveryaspo,valdisc,logvaldisc,oilpop_impute,logoilres_impute,logvaloilres_impute,logGDP_M,logpop_M,logpopdens,democracy,x_dem,logmilexgdpSIPRI,logmountain,logoutreg,unexpdisc_log,decade,wildcatsample,africa,asia,oceania,southam,dincidence2COW,d2incidence2COW,d3incidence2COW,d3_6incidence2COW,d7_10incidence2COW,d3yrsCOW,d5yrsCOW,dincidenceU,d2incidenceU,d3incidenceU,d3_6incidenceU,d7_10incidenceU,d3yrsU,d5yrsU,dcoup,d2coup,d3coup,d3_6coup,d7_10coup,d3yrsCOUP,d5yrsCOUP,dany_coup,d3_6any_coup,dSambanis_war,d3_6Sambanis_war,dFearon_war,d3_6Fearon_war,dmilexpSIPRI,d2milexpSIPRI,d3milexpSIPRI,d3_6milexpSIPRI,d7_10milexpSIPRI,d3yrsSIPRI,d5yrsSIPRI,Llogoilres,Llogvaloilres,LlogGDP_M,Lecgrowth,Llogpop_M,Llogpopdens,Ldemocracy,Lincidence2COW,LincidenceU,Lcrude1990P,milexgdpSIPRI_diff,popdens_diff,pop_M_diff,valoilres_diff,valoilres_binarize,valoilres_impute_diff,valoilres_impute_binarize,democracy_diff,wildcat_diff,out_regdisaster_diff,oilreserves_diff,crude1990P_diff,valdisc_diff,valdisc_binarize,oilpop_impute_diff,oilpop_impute_binarize
0,1929.0,8,0.2819,0.2819,,,,,,0.8,,,1.0000000000000003e-05,0.0,,,,,,,,,,,0.004719,0.002204,0.000399,,,,,1e-05,-0.11717423,,39,150,1e-05,1.0,1e-05,-0.012429344,,,,,,,0.2885363,-0.012429344,,0.068312034,0.06884487,0.035740167,,,,,0.0324957,,,,1e-05,1e-05,1e-05,1e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1930.0,8,0.28266,0.28266,,0.00076,,1.0,1.0,0.8,,ALBANIA,1.0000000000000003e-05,0.0,,,,,,,,,1.0,1e-05,0.004719,0.002204,0.000399,,,,,1e-05,-0.11717423,23.197977,39,150,1e-05,1.0,1e-05,-0.012453466,0.018987186,0.0007739308,1e-05,-0.07164028,0.017953629,-0.04019963,0.28784114,-0.012453466,0.018987186,,0.06889591,0.035791215,0.0005,0.004285714,,,0.0324957,,1.0,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012429344,,0.068312034,,0.06884487,0.035740167,,1e-05,,,,5.1021576e-05,5.1021576e-05,,,,,,,0.0,0.0026960373,,,,-0.0024092793,0.0
2,1931.0,8,0.28266,0.28266,,1e-05,,1.0,1e-05,0.8,,ALBANIA,1.0000000000000003e-05,0.0,,,,,,,,,1.0,1e-05,0.004719,0.002204,0.000399,,,,,1e-05,-0.11717423,13.8914585,39,150,9525810.0,1.0,1e-05,-0.01251438,0.013798363,1e-05,1.0,-0.22802708,1e-05,-0.19425803,0.28609312,-0.01251438,0.013798363,,0.06895683,0.035852127,0.0005,0.004285714,,,0.16069515,,1.0,,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012453466,0.018987186,,,0.06889591,0.035791215,0.0005,1e-05,,23.197977,,6.0915947e-05,6.1035156e-05,-0.005175352,0.0,-0.005175352,0.0,0.0,-0.99999,952581000000.0,0.0,-0.401178,-0.999443,0.0,-0.006072879,0.0
3,1932.0,8,0.28266,0.28266,,1e-05,,1.0,1e-05,0.8,,ALBANIA,1.0000000000000003e-05,0.0,,,,,,,,,1.0,1e-05,0.004719,0.002204,0.000399,,,,,1e-05,-0.11717423,20.738506,39,150,1e-05,1.0,1e-05,-0.012564859,0.017755063,1e-05,1.0,-0.22802708,1e-05,-0.19425803,0.28465256,-0.012564859,0.017755063,,0.06900731,0.03590261,0.0005,0.004285714,,,0.0324957,,1.0,,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01251438,0.013798363,,,0.06895683,0.035852127,0.0005,1e-05,,13.8914585,,5.054474e-05,5.042553e-05,0.003964424,0.0,0.003964424,0.0,0.0,0.0,-1.0,0.0,0.4928962,0.0,0.0,-0.005035281,0.0
4,1933.0,8,0.28264904,0.28264904,,1e-05,,1.0,1e-05,0.8,,ALBANIA,1.0000000000000003e-05,0.0,,,,,,,,,1.0,1e-05,0.004719,0.002204,0.000399,,,,,1e-05,-0.11717423,16.836752,39,150,356612.75,1.0,1e-05,-0.012615473,0.015620168,1e-05,1.0,-0.22802708,1e-05,-0.19425803,0.28321546,-0.012615473,0.015620168,,0.06905753,0.035952833,0.0005,0.004285714,,,0.12784405,,1.0,,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012564859,0.017755063,,,0.06900731,0.03590261,0.0005,1e-05,,20.738506,,5.018711e-05,5.018711e-05,-0.0021325946,0.0,-0.0021325946,0.0,0.0,0.0,35661275000.0,-3.8802624e-05,-0.18814057,0.0,0.0,-0.0050486326,0.0
5,1934.0,8,0.2826381,0.2826381,,1e-05,,1.0,1e-05,0.8,,ALBANIA,1.0000000000000003e-05,0.0,,,,,,,,,1.0,1e-05,0.004719,0.002204,0.000399,,,,,1e-05,-0.11717423,24.30626,39,150,1e-05,1.0,1e-05,-0.012665835,0.019241504,1e-05,1.0,-0.22802708,1e-05,-0.19425803,0.28179273,-0.012665835,0.019241504,,0.06910751,0.036002807,0.0005,0.004285714,,,0.0324957,,1.0,,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012615473,0.015620168,,,0.06905753,0.035952833,0.0005,1e-05,,16.836752,,5.00679e-05,5.00679e-05,0.0036280155,0.0,0.0036280155,0.0,0.0,0.0,-1.0,-3.8683414e-05,0.44364297,0.0,0.0,-0.0050234795,0.0
6,1935.0,8,0.2826016,0.2826016,,1e-05,,1.0,1e-05,0.8,,ALBANIA,1.0000000000000003e-05,0.0,,,,,,,,,1.0,1e-05,0.004719,0.002204,0.000399,,,,,1e-05,-0.11717423,23.000612,39,150,50217.676,1.0,1e-05,-0.01272677,0.018628439,1e-05,1.0,-0.22802708,1e-05,-0.19425803,0.28008085,-0.01272677,0.018628439,,0.06916715,0.03606245,0.0005,0.004285714,,,0.10824122,-0.020572275,1.0,,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012665835,0.019241504,,,0.06910751,0.036002807,0.0005,1e-05,,24.30626,,5.9723854e-05,5.9604645e-05,-0.00061297417,0.0,-0.00061297417,0.0,0.0,0.0,5021767700.0,-0.00012916327,-0.05371648,0.0,0.0,-0.006074965,0.0
7,1936.0,8,0.2823461,0.2823461,,1e-05,,1.0,1e-05,0.8,,ALBANIA,1.0000000000000003e-05,0.0,,,,,,,,,1.0,1e-05,0.004719,0.002204,0.000399,,,,,1e-05,-0.11717423,25.611904,39,150,172257.0,1.0,1e-05,-0.012785246,0.019645328,1e-05,1.0,-0.22802708,1e-05,-0.19425803,0.27844784,-0.012785246,0.019645328,,0.06921658,0.036111884,0.0005,0.004285714,,,0.120567426,-0.020572275,1.0,,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01272677,0.018628439,,,0.06916715,0.03606245,0.0005,1e-05,,23.000612,,4.9471855e-05,4.9352646e-05,0.0010174513,0.0,0.0010174513,0.0,0.0,0.0,2.4302065,-0.00090408325,0.11353135,0.0,0.0,-0.0058305264,0.0
8,1937.0,8,0.2817256,0.2817256,,1e-05,,1.0,1e-05,0.8,,ALBANIA,1.0000000000000003e-05,0.0,,,,,,,,,1.0,1e-05,0.004719,0.002204,0.000399,,,,,1e-05,-0.11717423,26.75055,39,150,3554621.2,1.0,1e-05,-0.012963805,0.019901745,1e-05,1.0,-0.22802708,1e-05,-0.19425803,0.27352,-0.012963805,0.019901745,,0.06937314,0.036268443,0.0005,0.004285714,,,0.15083759,-0.020572275,1.0,,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012785246,0.019645328,,,0.06921658,0.036111884,0.0005,1e-05,,25.611904,,0.000156641,0.000156641,0.00025641918,0.0,0.00025641918,0.0,0.0,0.0,19.635569,-0.0021976829,0.044457674,0.0,0.0,-0.017697573,0.0
9,1938.0,8,0.2809591,0.2809591,,1e-05,,1.0,1e-05,0.8,,ALBANIA,1.0000000000000003e-05,0.0,,,,,,,,,1.0,1e-05,0.004719,0.002204,0.000399,,,,,1e-05,-0.11717423,26.112907,39,150,2380274.0,1.0,1e-05,-0.013087668,0.01953663,1e-05,1.0,-0.22802708,1e-05,-0.19425803,0.270153,-0.013087668,0.01953663,,0.06946976,0.036365062,0.0005,0.004285714,,,0.14682727,-0.020572275,1.0,,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012963805,0.019901745,,,0.06937314,0.036268443,0.0005,1e-05,,26.75055,,9.6440315e-05,9.6559525e-05,-0.00036495924,0.0,-0.00036495924,0.0,0.0,0.0,-0.33037198,-0.002720654,-0.023836613,0.0,0.0,-0.012309909,0.0
