,onset2COWCS,onsetUCS,coup,periregular,numcode,year,ecgrowth,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,no_transition,popdens_diff,pop_maddison_diff,democracy_diff,wildcat_diff,out_regdisaster_diff,valoilres_diff,valoilres_binarize,valoilres_public_diff,valoilres_public_binarize,oilpop_diff,oilpop_binarize,valoilres_impute_diff,valoilres_impute_binarize,oilpop_impute_diff,oilpop_impute_binarize,milexp_pergdpSIPRI_diff
0,1e-05,,,,4,1929.0,,0.041835755,0.0076929997,0.002717,0.006141,1e-05,,,,,,,,,,,,,,,,,
1,1e-05,,,1e-05,4,1930.0,,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,,,,,-1.0,,,,,,,,,,,
2,1e-05,,,1e-05,4,1931.0,,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,,,0.0,,0.0,,,,,,,,,,,
3,1e-05,,,1e-05,4,1932.0,,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,,,0.0,,0.0,,,,,,,,,,,
4,1e-05,,,1e-05,4,1933.0,,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,,,0.0,,35661275000.0,,,,,,,,,,,
5,1e-05,,,0.5,4,1934.0,,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,,,0.0,,-1.0,,,,,,,,,,,
6,1e-05,,,0.5,4,1935.0,,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,,,-0.5,,5021767700.0,,,,,,,,,,,
7,1e-05,,,0.5,4,1936.0,,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,,,0.0,,2.4302065,,,,,,,,,,,
8,1e-05,,,0.5,4,1937.0,,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,,,0.0,,19.635569,,,,,,,,,,,
9,1e-05,,,0.5,4,1938.0,,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,,,0.0,,-0.33037198,,,,,,,,,,,
10,1e-05,,,0.5,4,1939.0,,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,,,0.0,,2.0969815,,,,,,,,,,,
11,1e-05,,,0.5,4,1940.0,,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,,,0.0,,-0.9527984,,,,,,,,,,,
12,1e-05,,,0.5,4,1941.0,,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,,,0.0,,-1.0,,,,,,,,,,,
13,1e-05,,,0.5,4,1942.0,,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,,,0.0,,20982040000.0,,,,,,,,,,,
14,1e-05,,,0.5,4,1943.0,,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,,,0.0,,32.115585,,,,,,,,,,,
15,1e-05,,,0.33333334,4,1944.0,,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,,,0.0,,-0.9051389,,,,,,,,,,,
16,1e-05,,,0.33333334,4,1945.0,,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,,,-0.99,,-1.0,,,,,,,,,,,
17,1e-05,1e-05,1.0000000000000003e-05,0.25,4,1946.0,,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,,,0.0,,15993406000.0,,,,,,,,,,,
18,1e-05,1e-05,1.0000000000000003e-05,0.33333334,4,1947.0,,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,,,0.0,,2.5053763,,,,,,,,,,,
19,1e-05,1e-05,1.0000000000000003e-05,0.2,4,1948.0,,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,,,0.0,,-0.77443063,,,,,,,,,,,
20,1e-05,1e-05,1.0000000000000003e-05,0.2,4,1949.0,,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,,,0.0,,4.4615974,,,,,,,,,,,
21,1e-05,1e-05,1.0000000000000003e-05,0.2,4,1950.0,,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,,,0.0,,0.38964343,,,,,,,,,,,
22,1e-05,1e-05,1.0000000000000003e-05,0.2,4,1951.0,0.012456354,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,0.00016331673,0.016453795643098568,0.0,,5.573304,,,,,,,,,,,
23,1e-05,1e-05,1.0000000000000003e-05,0.16666667,4,1952.0,0.016554328,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,0.00016856194,0.017002935178527245,0.0,,-0.9432143,,,,,,,,,,,
24,1e-05,1e-05,1.0000000000000003e-05,0.14285715,4,1953.0,0.042865083,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,0.00017404556,0.017552278221569795,0.0,,9.746074,,,,,,,,,,,
25,1e-05,1e-05,1.0000000000000003e-05,0.14285715,4,1954.0,0.0030795443,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,0.00017940998,0.0181018875326433,0.0,,-0.064802766,,,,,,,,,,,
26,1e-05,1e-05,1.0000000000000003e-05,0.14285715,4,1955.0,0.0012943493,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,0.0001847744,0.018651829458630642,0.0,,0.032425046,,,,,,,,,,,
27,1e-05,1e-05,1.0000000000000003e-05,0.14285715,4,1956.0,0.025296004,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,0.00019025803,0.019202055928224437,0.0,,-1.0,,,,,,,,,,,
28,1e-05,1e-05,1.0000000000000003e-05,0.14285715,4,1957.0,-0.01936978,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,0.00019562244,0.019752409227942413,0.0,,70911930000.0,,,,,,,,,,,
29,1e-05,1e-05,1.0000000000000003e-05,0.14285715,4,1958.0,0.03519145,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,0.00020110607,0.02030336744757011,0.0,,-0.94414157,,,,,,,,,,,
30,1e-05,1e-05,1.0000000000000003e-05,0.25,4,1959.0,0.007636053,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,0.00020575523,0.020793299444289204,0.0,,3.4544406,,,,,,,,,,,
31,1e-05,1e-05,1.0000000000000003e-05,0.4,4,1960.0,0.0143296365,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,0.00021064281,0.021283337782581846,0.0,,19.129662,,,,,,,,,,,
32,1e-05,1e-05,1.0000000000000003e-05,0.4,4,1961.0,-0.012826196,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,0.00021541119,0.02177359431960535,0.0,,-0.5705621,,,,,,,,,,,
33,1e-05,1e-05,1.0000000000000003e-05,0.4,4,1962.0,-0.0049664183,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,0.00022029877,0.022264246562502255,0.0,,1.7873008,,,,,,,,,,,
34,1e-05,1e-05,1.0000000000000003e-05,0.4,4,1963.0,-0.0042854766,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,0.00022494793,0.02275504439865994,0.0,,-0.2536779,,,,,,,,,,,
35,1e-05,1e-05,1.0000000000000003e-05,0.44444445,4,1964.0,-0.0037406536,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,0.00022935867,0.023184721123792995,149.0,,1.4555733,,,,,,,,,,,
36,1e-05,1e-05,1.0000000000000003e-05,0.44444445,4,1965.0,-0.0012367413,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,0.00023341179,0.023614466679640067,0.0,,-0.01888156,,,,,,,,,,,
37,1e-05,1e-05,1.0000000000000003e-05,0.5,4,1966.0,-0.013732028,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,0.00023758411,0.02404457391220638,0.0,,0.1601255,,,,,,,,,,,
38,1e-05,1e-05,1.0000000000000003e-05,0.5555556,4,1967.0,0.0030986646,0.041835755,0.0076929997,0.002717,0.006141,1e-05,1e-05,0.00024187565,0.024474664039914718,0.0,,-0.80267143,,,,,,,,,,,
